Date,Category,District,Provider_ID,Demand_Count,Rainfall_Level,Is_Rainy,Is_Sunny,Is_Holiday,Is_Long_Weekend,Special_Event,Sunny_Days_Consecutive,Rainy_Days_Consecutive
2024-09-01,Grass cutting,Gampaha,PRO-GRA-15,0,High,1,0,0,0,0,0,4
2024-09-01,Child care,Gampaha,PRO-CHI-07,0,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Gampaha,PRO-PLU-04,15,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Colombo,PRO-PLU-06,15,High,1,0,0,0,0,0,4
2024-09-01,Grass cutting,Colombo,PRO-GRA-01,0,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Colombo,PRO-PLU-02,16,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Colombo,PRO-PLU-01,16,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Gampaha,PRO-PLU-05,15,High,1,0,0,0,0,0,4
2024-09-01,Grass cutting,Colombo,PRO-GRA-18,0,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Colombo,PRO-PLU-07,17,High,1,0,0,0,0,0,4
2024-09-01,Electrical repairs,Colombo,PRO-ELE-08,16,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Gampaha,PRO-PLU-08,16,High,1,0,0,0,0,0,4
2024-09-01,Grass cutting,Gampaha,PRO-GRA-09,0,High,1,0,0,0,0,0,4
2024-09-01,Electrical repairs,Gampaha,PRO-ELE-07,15,High,1,0,0,0,0,0,4
2024-09-01,Electrical repairs,Colombo,PRO-ELE-01,16,High,1,0,0,0,0,0,4
2024-09-01,Child care,Gampaha,PRO-CHI-01,2,High,1,0,0,0,0,0,4
2024-09-01,Plumbing,Colombo,PRO-PLU-03,15,High,1,0,0,0,0,0,4
2024-09-01,Child care,Colombo,PRO-CHI-08,2,High,1,0,0,0,0,0,4
2024-09-02,Electrical repairs,Gampaha,PRO-ELE-07,10,High,1,0,0,0,0,0,5
2024-09-02,Child care,Gampaha,PRO-CHI-05,10,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Gampaha,PRO-GRA-17,0,High,1,0,0,0,0,0,5
2024-09-02,Electrical repairs,Gampaha,PRO-ELE-01,12,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Colombo,PRO-GRA-06,0,High,1,0,0,0,0,0,5
2024-09-02,Electrical repairs,Gampaha,PRO-ELE-05,12,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Gampaha,PRO-PLU-05,0,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Gampaha,PRO-PLU-06,2,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Gampaha,PRO-PLU-08,0,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Colombo,PRO-PLU-04,2,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Gampaha,PRO-PLU-01,1,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Colombo,PRO-PLU-02,0,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Colombo,PRO-GRA-16,0,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Gampaha,PRO-PLU-03,1,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Colombo,PRO-GRA-02,0,High,1,0,0,0,0,0,5
2024-09-02,Child care,Gampaha,PRO-CHI-07,12,High,1,0,0,0,0,0,5
2024-09-02,Child care,Colombo,PRO-CHI-01,12,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Colombo,PRO-GRA-14,0,High,1,0,0,0,0,0,5
2024-09-02,Grass cutting,Gampaha,PRO-GRA-09,0,High,1,0,0,0,0,0,5
2024-09-02,Plumbing,Colombo,PRO-PLU-07,1,High,1,0,0,0,0,0,5
2024-09-03,Child care,Colombo,PRO-CHI-07,10,High,1,0,0,0,0,0,6
2024-09-03,Plumbing,Gampaha,PRO-PLU-03,1,High,1,0,0,0,0,0,6
2024-09-03,Grass cutting,Colombo,PRO-GRA-16,0,High,1,0,0,0,0,0,6
